knownForProfession,content,people,credits,in_wikidata,minKnownForYear,maxKnownForYear,anyAdult,anyTV,anyGame,anyShort,anyFilm,anyVideo,decade_1870,decade_1880,decade_1890,decade_1900,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,decade_2020,decade_2030,decade_NA
accountant,1,13,13,0,2016,2024,0,0,1,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,7
accountant,2,2,4,0,NA,NA,0,0,0,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
accountant,3,1,3,0,2021,2023,0,0,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1
accountant,4,36,144,2,1983,2025,0,46,0,6,90,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,62,53,NA,15
accountant,Summary,52,164,2,1983,2025,0,46,1,11,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,65,58,NA,27
actor,1,1940889,1940889,9323,1891,2030,38616,396822,12390,521142,813524,98502,NA,NA,73,391,6188,9291,9577,8269,20750,34691,59817,97267,135480,297938,739071,365700,8,156378
actor,2,407479,814958,7687,1894,2030,15963,226507,7246,219137,315841,46167,NA,NA,26,210,2997,4000,4627,4054,10756,17225,26065,41133,60520,137420,319554,159485,3,26883
actor,3,190019,570057,7509,1890,2030,10559,174779,5660,146870,211891,30799,NA,NA,31,128,2218,2909,3502,3214,8306,13281,18207,28991,42825,95042,219827,112181,1,19394
actor,4,676971,2707884,165181,1894,2029,47444,826077,27230,405985,1364825,83616,NA,NA,54,550,15322,19097,25910,24591,58359,92725,119378,162971,235729,454839,946471,466309,NA,85579
actor,Summary,3215358,6033788,189516,1890,2030,112582,1624185,52526,1293134,2706081,259084,NA,NA,184,1279,26725,35297,43616,40128,98171,157922,223467,330362,474554,985239,2224923,1103675,12,288234
actress,1,1159853,1159853,6662,1894,2030,40938,253514,5944,297563,481125,68707,NA,NA,35,211,4503,5644,5820,5057,11966,20618,34467,57632,84222,194629,426856,219079,4,89110
actress,2,252004,504008,5903,1894,2030,21069,150560,3267,130497,186074,33561,NA,NA,44,111,2406,2745,3024,3044,6825,10612,15116,24726,37780,88639,191847,99538,3,17548
actress,3,120411,361233,6137,1894,2027,15771,120582,2545,89476,125821,22778,NA,NA,8,89,1679,1883,2448,2310,5646,8125,10922,17081,26227,62223,137610,71935,NA,13047
actress,4,411949,1647796,108720,1895,2031,86648,564257,13140,242565,754692,73054,NA,NA,24,300,10656,10686,14493,14413,33713,50276,65122,89031,135211,286529,586555,296254,2,54531
actress,Summary,1944217,3672890,127290,1894,2031,164426,1088913,24896,760101,1547712,198100,NA,NA,111,711,19244,20958,25785,24824,58150,89631,125627,188470,283440,632020,1342868,686806,9,174236
animation_department,1,93943,93943,193,1913,2026,1070,34713,5358,20860,25033,6248,NA,NA,NA,NA,11,27,61,245,296,699,1585,5428,11219,16288,32689,22240,NA,3155
animation_department,2,33980,67960,204,1909,2026,494,25695,5356,13808,18780,4318,NA,NA,NA,1,16,19,46,118,216,413,1022,3864,7561,12887,25335,15672,NA,790
animation_department,3,19126,57378,208,1914,2026,373,21922,5005,10508,16277,3665,NA,NA,NA,NA,14,4,45,99,202,410,886,3344,6218,11353,21471,12803,NA,529
animation_department,4,79494,317976,5593,1878,2031,1422,102863,21563,32959,151738,8851,3,NA,2,5,125,211,455,801,1200,2716,5795,19675,37233,66829,124127,56613,1,2185
animation_department,Summary,226543,537257,6189,1878,2031,3359,185193,37282,78135,211828,23082,3,NA,2,6,166,261,607,1263,1914,4238,9288,32311,62231,107357,203622,107328,1,6659
archive_footage,1,81323,81323,2157,1888,2025,2187,22325,59,1772,5202,2107,NA,2,21,26,98,157,374,327,952,4990,1770,3098,3161,6524,7139,2669,NA,50015
archive_footage,2,14631,29262,1452,1878,2026,2585,19401,96,1865,5310,2590,1,3,21,25,122,156,297,429,952,2128,1829,2806,3535,6397,7516,2877,NA,168
archive_footage,3,10107,30321,1497,1894,2027,3083,19977,134,1673,5689,2847,NA,NA,19,25,130,164,338,374,1053,1904,1955,2746,3706,6749,7883,3101,NA,174
archive_footage,4,94159,376636,49144,1890,2027,48775,197265,1678,10099,138096,29490,NA,NA,93,237,1930,3803,7376,7823,16952,24619,29280,35897,50402,82389,83136,29858,NA,2841
archive_footage,Summary,200220,517542,54240,1878,2027,56630,258968,1967,15409,154297,37034,1,5,154,313,2280,4280,8385,8953,19909,33641,34834,44547,60804,102059,105674,38505,NA,53198
archive_sound,1,1369,1369,43,1902,2024,1,275,167,20,78,18,NA,NA,NA,1,2,2,2,5,30,21,18,50,40,179,148,58,NA,813
archive_sound,2,337,674,31,1926,2024,0,423,116,36,88,11,NA,NA,NA,NA,NA,1,2,10,37,40,44,46,42,171,204,75,NA,2
archive_sound,3,271,813,41,1911,2025,0,489,89,52,149,33,NA,NA,NA,NA,2,NA,13,17,47,37,45,48,83,174,269,72,NA,6
archive_sound,4,3160,12640,1680,1899,2025,12,6880,1314,398,3907,141,NA,NA,2,2,30,27,145,200,641,861,951,1071,1712,2736,2962,1177,NA,123
archive_sound,Summary,5137,15496,1795,1899,2025,13,8067,1686,506,4222,203,NA,NA,2,3,34,30,162,232,755,959,1058,1215,1877,3260,3583,1382,NA,944
art_department,1,219843,219843,250,1908,2027,1486,52580,14827,43413,95556,7285,NA,NA,NA,3,40,124,163,323,1054,1752,3594,10771,23125,40248,78126,48372,NA,12148
art_department,2,69943,139886,284,1909,2026,779,38054,10788,29896,56181,4963,NA,NA,NA,1,15,68,147,211,710,1100,2451,6951,15015,27268,52249,29992,NA,3708
art_department,3,37760,113280,308,1908,2027,550,32786,8497,24009,44213,3769,NA,NA,NA,2,23,45,100,162,574,942,2031,5598,12179,22511,42197,24085,NA,2831
art_department,4,164840,659360,7936,1898,2031,2432,163776,27229,70117,388426,9805,NA,NA,1,12,131,591,975,1650,4035,7125,13905,32067,69024,134046,249988,132747,1,13062
art_department,Summary,492386,1132369,8775,1898,2031,5247,287196,61341,167435,584376,25822,NA,NA,1,18,209,828,1385,2346,6373,10919,21981,55387,119343,224073,422560,235196,1,31749
art_director,1,32727,32727,87,1900,2026,331,4330,611,14638,10246,1471,NA,NA,NA,2,37,134,145,136,262,459,635,1144,1926,4868,13538,6831,NA,2610
art_director,2,13508,27016,94,1912,2025,185,4577,728,11335,9333,1036,NA,NA,NA,NA,23,113,100,105,261,376,569,995,1773,4542,11316,5867,NA,976
art_director,3,7998,23994,96,1900,2027,151,4642,747,9270,8386,944,NA,NA,NA,7,30,69,93,103,186,315,471,930,1764,4040,9849,5306,NA,831
art_director,4,42738,170952,3591,1899,2027,813,36099,3189,26514,102727,2420,NA,NA,1,10,230,870,1112,1354,2513,3611,4999,8562,14427,29150,64970,34879,NA,4264
art_director,Summary,96971,254689,3867,1899,2027,1480,49648,5275,61757,130692,5871,NA,NA,1,19,320,1186,1450,1698,3222,4761,6674,11631,19890,42600,99673,52883,NA,8681
assistant,1,2568,2568,2,1937,2025,4,205,4,192,307,27,NA,NA,NA,NA,NA,NA,1,NA,4,4,3,10,19,100,255,231,NA,1941
assistant,2,367,734,1,1929,2025,2,217,3,190,299,25,NA,NA,NA,NA,NA,1,NA,1,NA,2,2,10,31,91,287,236,NA,73
assistant,3,221,663,0,1957,2025,3,218,2,193,220,30,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,6,13,91,248,218,NA,79
assistant,4,658,2632,19,1950,2025,12,724,18,319,1526,43,NA,NA,NA,NA,NA,NA,NA,NA,5,6,12,20,79,296,996,950,NA,268
assistant,Summary,3814,6597,22,1929,2025,21,1364,27,894,2352,125,NA,NA,NA,NA,NA,1,1,1,12,15,19,46,142,578,1786,1635,NA,2361
assistant_director,1,85780,85780,126,1892,2026,581,15032,201,31837,33095,2724,NA,NA,2,NA,49,185,356,438,882,1571,2679,4024,5940,11501,32758,18854,NA,6541
assistant_director,2,38217,76434,289,1913,2030,337,15455,259,30215,28148,2351,NA,NA,NA,NA,41,171,268,360,784,1259,2364,3640,4988,10774,30490,17899,2,3394
assistant_director,3,23856,71568,356,1894,2027,265,15373,322,27266,26445,2153,NA,NA,2,1,52,113,257,295,670,1175,2166,3314,4607,10305,28443,16996,NA,3172
assistant_director,4,120343,481372,12363,1898,2029,1826,110507,1642,102851,260366,5980,NA,NA,1,22,581,1325,2260,2616,6212,10948,17661,24619,34949,72051,184900,105845,NA,17382
assistant_director,Summary,268196,715154,13131,1892,2030,3009,156367,2424,192169,348054,13208,NA,NA,5,23,723,1794,3141,3709,8548,14953,24870,35597,50484,104631,276591,159594,2,30489
camera_department,1,355160,355160,292,1906,2027,6628,85249,479,114383,121725,20505,NA,NA,NA,2,35,154,344,541,2062,3602,8255,16613,25086,52843,143734,75616,NA,26273
camera_department,2,121231,242462,353,1898,2026,3318,63999,561,86464,78617,12797,NA,NA,1,3,31,101,199,367,1384,2510,5398,11036,16724,37821,102561,54743,NA,9583
camera_department,3,65516,196548,450,1908,2026,2019,53462,549,70445,62645,9432,NA,NA,NA,2,19,83,179,302,1114,2144,4552,8601,13249,30949,82844,44682,NA,7828
camera_department,4,278799,1115196,12144,1897,2031,11455,257955,2453,251279,576795,26667,NA,NA,7,31,256,1051,1752,2306,7593,14302,29312,49830,81774,181515,463027,243749,1,38690
camera_department,Summary,820706,1909366,13232,1897,2031,23420,460665,4042,522571,839782,69401,NA,NA,8,38,341,1389,2474,3516,12153,22558,47517,86080,136833,303128,792166,418790,1,82374
casting_department,1,19415,19415,32,1926,2025,113,4979,75,3960,9282,503,NA,NA,NA,NA,NA,2,4,6,39,52,125,656,1450,3489,7687,4533,NA,1372
casting_department,2,7268,14536,35,1913,2026,54,4529,93,3392,6091,430,NA,NA,NA,NA,1,2,1,4,23,43,112,527,1165,2609,5915,3505,NA,629
casting_department,3,4576,13728,31,1918,2025,70,4775,100,3033,5412,408,NA,NA,NA,NA,1,NA,7,2,18,34,104,374,1029,2514,5767,3348,NA,530
casting_department,4,27533,110132,1761,1917,2031,389,37796,706,11784,58618,1223,NA,NA,NA,NA,1,10,59,43,203,376,1063,3322,7983,20565,46551,26390,1,3565
casting_department,Summary,58792,157811,1859,1913,2031,626,52079,974,22169,79403,2564,NA,NA,NA,NA,3,14,71,55,283,505,1404,4879,11627,29177,65920,37776,1,6096
casting_director,1,9660,9660,26,1915,2025,77,1781,62,3343,3623,468,NA,NA,NA,NA,2,2,12,10,37,48,116,286,598,1846,3609,2170,NA,924
casting_director,2,4113,8226,27,1912,2025,52,1878,61,2838,3070,378,NA,NA,NA,NA,3,6,9,13,39,41,115,246,557,1598,3179,1939,NA,481
casting_director,3,2697,8091,54,1916,2025,44,2005,59,2651,3052,324,NA,NA,NA,NA,2,4,13,6,27,31,98,201,481,1522,3352,1886,NA,468
casting_director,4,16491,65964,1542,1912,2027,368,19281,709,9266,35697,1006,NA,NA,NA,NA,11,33,84,64,273,460,1119,2820,5588,12956,25426,14429,NA,2701
casting_director,Summary,32961,91941,1648,1912,2027,541,24945,891,18098,45442,2176,NA,NA,NA,NA,18,45,118,93,376,580,1448,3553,7224,17922,35566,20424,NA,4574
