knownForProfession,n
accountant,49
actor,3238351
actress,1957592
animation_department,228177
archive_footage,203084
archive_sound,5185
art_department,495577
art_director,97633
assistant,3830
assistant_director,270120
camera_department,826416
casting_department,59173
casting_director,33190
choreographer,282
cinematographer,404343
composer,352503
costume_department,164784
costume_designer,79269
director,760588
editor,373137
editorial_department,197494
electrical_department,59
executive,40443
legal,4620
location_management,88134
make_up_department,235837
manager,14943
miscellaneous,1454730
music_artist,5093
music_department,289441
podcaster,651
producer,1242605
production_department,439
production_designer,84473
production_manager,217961
publicist,4481
script_department,91863
set_decorator,58288
sound_department,405044
soundtrack,152358
special_effects,69882
stunts,92715
talent_agent,14079
transportation_department,107623
visual_effects,250751
writer,930605
